Pantone Plastics Code,Hex Code
Q758-1-4,d0cdc5
Q722-3-3,afbfc8
Q740-1-5,dbe3df
Q728-2-4,cbd3d2
Q722-3-2,7d8ea3
Q734-1-4,becdca
Q752-2-4,d6d4c3
Q746-1-4,c9ccb9
Q728-3-2,7d8e92
Q734-2-4,c8d4d1
Q716-1-4,c3c2c0
Q740-3-5,f0f4f2
Q758-2-4,d2cfc4
Q722-1-2,526276
Q728-3-4,d4dbda
Q716-2-5,e7e6e2
Q716-2-3,a3a2a3
Q734-3-3,b0c0bd
Q746-3-3,bbbeac
Q752-3-4,bbbeac
Q722-2-4,c4d1d7
Q722-3-4,d1dee4
Q752-1-5,eae7d7
Q740-3-4,d0dad3
Q728-1-4,b8c4c5
Q734-2-3,a9bcbb
Q728-2-2,768387
Q746-2-4,d8dbc8
Q746-2-3,aaad9a
Q716-1-5,e2e1dd
Q752-3-3,bfbdac
Q722-2-2,748797
Q722-3-1,525a6c
Q734-3-4,d6e2e0
Q716-3-3,b5b5b5
Q722-1-4,b7c6cf
Q716-2-4,cfcdcd
Q758-2-5,efeee7
Q758-3-4,e2dfd5
Q728-1-5,e0e6e3
Q716-3-4,dddcda
Q752-2-3,b1ae9a
Q746-3-4,e3e3d7
Q728-2-3,9da7a9
Q728-3-3,a6b2b2
Q716-1-3,989a9b
Q746-1-5,eaeade
Q728-1-3,90a1a3
Q758-1-5,eae7dd
Q722-1-3,8fa1a9
Q722-1-5,d9e5e9
Q722-2-3,96a9ba
Q752-1-4,d3d1c0